time,index,timeseries,metric
1997-03-15T00:00:00Z,1.101,39N,"m^2 s^(-1)"
1997-03-15T00:00:00Z,-0.285,45N,"m^2 s^(-1)"
1997-04-15T00:00:00Z,0.593,33N,"m^2 s^(-1)"
1997-04-15T00:00:00Z,1.624,39N,"m^2 s^(-1)"
1997-04-15T00:00:00Z,0.119,45N,"m^2 s^(-1)"
1997-05-15T00:00:00Z,0.24,33N,"m^2 s^(-1)"
1997-05-15T00:00:00Z,0.522,39N,"m^2 s^(-1)"
1997-05-15T00:00:00Z,0.148,45N,"m^2 s^(-1)"
1997-06-15T00:00:00Z,0.387,33N,"m^2 s^(-1)"
1997-06-15T00:00:00Z,1.8,39N,"m^2 s^(-1)"
1997-06-15T00:00:00Z,0.33,45N,"m^2 s^(-1)"
1997-07-15T00:00:00Z,0.194,33N,"m^2 s^(-1)"
1997-07-15T00:00:00Z,1.108,39N,"m^2 s^(-1)"
1997-07-15T00:00:00Z,0.56,45N,"m^2 s^(-1)"
1997-08-15T00:00:00Z,0.261,33N,"m^2 s^(-1)"
1997-08-15T00:00:00Z,0.372,39N,"m^2 s^(-1)"
1997-08-15T00:00:00Z,0.135,45N,"m^2 s^(-1)"
1997-09-15T00:00:00Z,0.312,33N,"m^2 s^(-1)"
1997-09-15T00:00:00Z,0.672,39N,"m^2 s^(-1)"
1997-09-15T00:00:00Z,-0.08,45N,"m^2 s^(-1)"
1997-10-15T00:00:00Z,0.381,33N,"m^2 s^(-1)"
1997-10-15T00:00:00Z,0.855,39N,"m^2 s^(-1)"
1997-10-15T00:00:00Z,-0.152,45N,"m^2 s^(-1)"
1997-11-15T00:00:00Z,0.096,33N,"m^2 s^(-1)"
1997-11-15T00:00:00Z,-0.09,39N,"m^2 s^(-1)"
1997-11-15T00:00:00Z,-0.467,45N,"m^2 s^(-1)"
1997-12-15T00:00:00Z,0.154,33N,"m^2 s^(-1)"
1997-12-15T00:00:00Z,0.359,39N,"m^2 s^(-1)"
1997-12-15T00:00:00Z,-0.132,45N,"m^2 s^(-1)"
1998-01-15T00:00:00Z,0.356,33N,"m^2 s^(-1)"
1998-01-15T00:00:00Z,-0.616,39N,"m^2 s^(-1)"
1998-01-15T00:00:00Z,-0.952,45N,"m^2 s^(-1)"
1998-02-15T00:00:00Z,0.532,33N,"m^2 s^(-1)"
1998-02-15T00:00:00Z,-0.14,39N,"m^2 s^(-1)"
1998-02-15T00:00:00Z,-0.982,45N,"m^2 s^(-1)"
1998-03-15T00:00:00Z,0.555,33N,"m^2 s^(-1)"
1998-03-15T00:00:00Z,0.976,39N,"m^2 s^(-1)"
1998-03-15T00:00:00Z,0.076,45N,"m^2 s^(-1)"
1998-04-15T00:00:00Z,0.353,33N,"m^2 s^(-1)"
1998-04-15T00:00:00Z,1.1,39N,"m^2 s^(-1)"
1998-04-15T00:00:00Z,0.18,45N,"m^2 s^(-1)"
1998-05-15T00:00:00Z,0.334,33N,"m^2 s^(-1)"
1998-05-15T00:00:00Z,0.561,39N,"m^2 s^(-1)"
1998-05-15T00:00:00Z,0.341,45N,"m^2 s^(-1)"
1998-06-15T00:00:00Z,0.266,33N,"m^2 s^(-1)"
1998-06-15T00:00:00Z,1.384,39N,"m^2 s^(-1)"
1998-06-15T00:00:00Z,0.527,45N,"m^2 s^(-1)"
1998-07-15T00:00:00Z,0.196,33N,"m^2 s^(-1)"
1998-07-15T00:00:00Z,1.369,39N,"m^2 s^(-1)"
1998-07-15T00:00:00Z,0.377,45N,"m^2 s^(-1)"
1998-08-15T00:00:00Z,0.26,33N,"m^2 s^(-1)"
1998-08-15T00:00:00Z,1.4,39N,"m^2 s^(-1)"
1998-08-15T00:00:00Z,0.525,45N,"m^2 s^(-1)"
1998-09-15T00:00:00Z,0.293,33N,"m^2 s^(-1)"
1998-09-15T00:00:00Z,0.843,39N,"m^2 s^(-1)"
1998-09-15T00:00:00Z,0.5,45N,"m^2 s^(-1)"
1998-10-15T00:00:00Z,0.365,33N,"m^2 s^(-1)"
1998-10-15T00:00:00Z,0.93,39N,"m^2 s^(-1)"
1998-10-15T00:00:00Z,0.021,45N,"m^2 s^(-1)"
1998-11-15T00:00:00Z,0.427,33N,"m^2 s^(-1)"
1998-11-15T00:00:00Z,0.098,39N,"m^2 s^(-1)"
1998-11-15T00:00:00Z,-0.722,45N,"m^2 s^(-1)"
1998-12-15T00:00:00Z,0.334,33N,"m^2 s^(-1)"
1998-12-15T00:00:00Z,1.259,39N,"m^2 s^(-1)"
